,from,to
5664, Wuhan Jingce Electronic Technology Co Ltd,Wuhan Jingce Electronic Technology Co Ltd
5665,Wei-Ting Liu,For-stop
5666,Wei-Hua Lu,For-hua Lu
5667,Chih-Kuei Hu,chih-kuei hu_fail
5668,HSBC Bank Canada ,Hsbc Bank Canada
5669,Gosuncn Technology Group Co Ltd,Gosuncn Technology Group Co Ltd
5670,"Zhejiang Dahua Technology Co., Ltd.","Technology Co., Ltd."
5671,Vtran Intelligent Technology Changzhou Co ltd,Vtran Intelligent Technology Changzhou Co Ltd
5672,Lucia Angela Vlad-Berindan,Lucia Angela Vlad-berindan
5673,Arizona State University ASU,Arizona State University Jesus
5674,Beijing Institute Of Technology,Beijing Institute Of Technology
5675,The University Of Arizona,The University Of Arizona
5676,"ZHEJIANG XIZI HEAVY INDUSTRY MACHINERY Co.,Ltd.","Zhejiang Xizi Heavy Industry Machinery Co.,ltd."
5677,더 아리조나 보드 오브 리전츠 온 비핼프 오브 더 유니버시티 오브 아리조나,The Arizona Board Of The Literary Beahalf Of The University Of Arizona
5678,아우그멘티드 비젼 인코포레이티드,Auag Mented Vision Incoporited
5679,"Хуавей Текнолоджиз Ко., Лтд.","Huai Teknolojiz Ko., Ltd."
5680,Shenzhen Sibionics Intelligent Technology Co Ltd,Shenzhen Sibionics Intelligent Technology Co Ltd
5681,Shenzhen Shengda Tongze Technology Co ltd,shenzhen shengda tongze technology_fail
5682,Applied Spectral Imaging Ltd,Applied Spectral Imaging Ltd
5683,Idemia Identity and Security USA LLC,Idemia Identity And Security Usa Llc
5684,Kameran Lashkari,Camera
5685,Mark Harooni,Mark
5686,Vectranetics Inc,Vectranetics Inc
5687,Johns Hopkins University,Johns Hopkins University
5688,W. Steve G. Mann,W. Steve G. Mann
5689,JOZEF F VAN DE VELDE ,Jozef F Van De Velde
5690, JOZEF F VAN DE VELDE,Jozef F Van De Velde
5691,M3 Electronics Inc,M3 Electronics Inc
5692,Kowa Co Ltd,Each
5693,Biolitec AG ,Biolitec Ag
5694, AMI Entertainment Network LLC,Ami Entertainment Network Llc
5695,Visual Pathways Inc,Visual Pathways Inc
5696,MEDIBELL (CMT) Ltd ,Medibell (cmt) Ltd
5697, Medibell Medical Vision Tech Ltd,Medibell Medical Vision Tech Ltd
5698,Tracey Technologies LLC,Tracey Technologies Llc
5699,Patrick Kerr,Patrick Kerr
5700,Jonathan Watts,Jonathan Watts
5701,SCAN OPTICS Pty Ltd,Scan Optics Pty Ltd
5702,Physical Sciences Corp,Physical Sciences Corp
5703,Oculus Optikgeraete GmbH,Oculus Optikgeraete Gmbh
5704,Princeton Identity Inc,Princeton Identity Inc
5705,Bausch & Lomb Inc.,Bausch & Lomb Inc.
5706,MEDIBELL MEDICALL VISION TECHNOLOGIES Ltd ,Medibell Medicall Vision Technologies Ltd
5707, Medibell Medicall Vision Tech Ltd,Medibell Medicall Vision Tech Ltd
5708,Queens University at Kingston,Queens University At Kingston
5709,Bjornberg David B,Bjornberg David B
5710,Britt John T,Britt John T
5711,Elop Electro-Optical Industries Ltd.,Elop Electro-optical Industries Ltd.
5712,Medivision Medical Imaging Ltd.,Medivision Medical Imaging Ltd.
5713,University of Miami,University Of Miami
5714,Honeywell China Co Ltd,Honeywell China Co Ltd
5715,Heine Optotechnik GmbH and Co KG,Heine Optotechnik Gmbh And Co Kg
5716,Kowa Co Ltd ,Each
5717, Kowa Optimed Inc,kowa optimed inc_fail
5718,OPTO ELETRONICA S/A ,Opto Eletronica S/a
5719, Opto Eletronica SA,Opto Eletronica Sa
5720,OD OS GmbH,From Gmbh Axis
5721,Flitcroft Investments Ltd,Flitcroft Investments Ltd
5722,Cytyc Corp,Cytyc Corp
5723,Clarity Medical Systems Inc,Clarity Medical Systems Inc
5724,University Of Northern British Columbia,University Of Northern British Columbia
5725,Merge Healthcare Inc,Merge Healthcare Inc
5726,Doheny Eye Institute of USC,Doheny Eye Institute Of Usc
5727,Annidis Health Systems Corp,Annidis Health Systems Corp
5728,Universitat Politecnica de Catalunya UPC,Upc Polytechnic University Of Catalonia
5729,Optibrand Ltd LLC,Optibrand Ltd Llc
5730,Dyer Holdings LLC,Dyer Holdings Llc
5731,University Of Miami,University Of Miami
5732,"Dyer Holdings, Llc","Dyer Holdings, Llc"
5733,Bioptigen Inc,Bioptigen Inc
5734,University of Pittsburgh,University Of Pittsburgh
5735,EyeQuick LLC,Eyequick Llc
5736,MASIDAH CORP,Corp
5737,University of Virginia Patent Foundation,University Of Virginia Patent Foundation
5738,Keeler Ltd,Keeler Ltd
5739,Optimun Technologies Inc,Optimun Technologies Inc.
5740,Neurovision Imaging Inc,Neurovision Imaging Inc
5741,"뉴로비전 이미징, 엘엘시","Neurobi Imaging, El Li City"
5742,Goldenholz Daniel M,Goldenholz Daniel M
5743,L2G B.V.,L2g B.v.
5744,Lure Yuan-Ming F,Lure Yuan-ming F
5745,Intuitive Medical Technology LLC,Intuitive Medical Technology Llc
5746,Welch Allyn Inc ,Welch Allyn Inc
5747, Wetch Allyn Inc,Wetch Allyn Inc
5748,Aguren Jerry G,Aguren Jerry G
5749,THIRD EYE DIAGNOSTICS Inc,Third Eye Diagnostics Inc
5750,Daif Mohammad Abdelfattah,Daif Mohammad Abdelfattah
5751,Julian Palacios Goerger,Julian Palacios Goerger
5752,Ojai Retinal Technology LLC,Ojai Retinal Technology Llc
5753,Optos PLC,Optos Plc
5754,Altek Biotechnology Corp,Altek Biotechnology Corp
5755,Parade Technologies Ltd USA,Parade Technologies Ltd Usa
5756,TAGUS VENTURES LLC,Tagus Ventures Llc
5757,Commonwealth Scientific and Industrial Research Organization CSIRO,Commonwealth Scientific And Industrial Research Organization Csiro
5758,Eyenuk Inc,Eyenuk Inc
5759,(주)루트로닉,"Routonic Co., Ltd."
5760,Lutronic Vision Inc,Lutronic Vision Inc
5761,D-Eye Srl,D-eye Srl
5762,Towa Corp,Towa Corp
5763,VisEra Technologies Co Ltd,visera technologies_fail
5764,オムニビジョン シーディーエム オプティクス， インコーポレイテッド,"Omni Vision Cedy Emu Optics, Incorporated"
5765,フレックストロニクス エーピー エルエルシー,Frekstronics Epie Elelcy
5766,Jsr株式会社,"Jsr Co., Ltd."
5767,Heptagon Oy,Heptagon Oy
5768,DigitalOptics Corp East,Digitaloptics Corp East
5769,Nitto Optical Co Ltd,nitto optical_fail
5770,フラウンホッファー−ゲゼルシャフト ツァ フェルダールング デァ アンゲヴァンテン フォアシュンク エー．ファオ,Frown Hoffer -gezel Shaft Zefeldaling De Ange Vanten Forest.fao
5771,石井 良明,石井 良明_fail
5772,Sharp Kk,Sharp Kk
5773,日本電気硝子株式会社,"Nippon Electric Glass Co., Ltd."
5774,ソニーグループ株式会社,"Sony Group Co., Ltd."
5775,Axon Technologies Corp Taiwan ,Axon Technologies Corp Taiwan
5776, Axon Technologies Corp,Axon Technologies Corp
5777,Tai-Her Yang,Tai-her
5778,E Pin Industry Optical Co Ltd,E Pin Industry Optical Co Ltd
5779,이-핀 옵티칼 인더스트리 컴퍼니 리미티드,Lee-fin-optic Industrial Company Limited
5780,E Pin Optical Industry Co Ltd,E Pin Optical Industry Co Ltd
5781,Realeyes GmbH,Realeyes Gmbh
5782,Konica Minolta Inc ,Konica Minolta Inc
5783, Konica Minolta Opto Inc,Konica Minolta Opto Inc
5784,Veoneer Sweden AB,Veoneer Sweden Ab
5785,Nippon Seiki Co Ltd,Japanese Regular
5786,Panshi Electric (changzhou) Co Ltd,Rock Electric (changzhou)
5787,Praxair ST Technology Inc,Praxair St Technology Inc
5788,Pantec GmbH,Pantec Gmbh
5789,Piezomotor Uppsala AB,piezomotor uppsala ab_fail
5790,AT&T Corp ,At&t Corp
5791, General Dynamics Government Systems Corp,General Dynamics Government Systems Corp
5792, GlassBridge Enterprises Inc,Glassbridge Enterprises Inc
5793,Covidien AG,Covidien Ag
5794,Vermon SA,Vermon Sa
5795,PHOTO COMPOSING MACH Manufacturing CO Ltd ,Photo Composing Mach Manufacturing Co Ltd
5796, SHAKEN KK,Shaken Kk
5797, Areva NP SAS,Areva Np Sas
5798,PBT IP Ltd,Pbt Ip Ltd
5799,Hewlett Packard GmbH Germany,Hewlett Packard Gmbh Germany
5800,Edo Corp,Or Corp
5801,Bullock Mark A,Bullock Mark A
5802,PRICEPLAY TAIWAN Inc,priceplay taiwan inc_fail
5803,Medtronic Minimed Inc,Medtronic Minimed Inc
5804,Thorlabs Inc,Thorlabs Inc
5805,Asmo Co Ltd,asmo_fail
5806, SVG Tech Group Co Ltd,Svg Tech Group Co Ltd
5807,Jinan University,Jinan University
5808,Zhejiang Lab,Zhejiang Speaker
5809,Victoria University of Innovation and Development Corp,Victoria University Of Innovation And Development Corp
5810,Tokin Corp,Tokin Corp
5811,Single Buoy Moorings Inc.,Single Buoy Moorings Inc.
5812,Beijing Institute of Nanoenergy and Nanosystems,Beijing Institute Of Nanoenergy And Nanosystems
5813,FOSHAN NANHAI SHUNZHAN MOULD LIGHTING METAL PRODUCTS CO LTD,foshan nanhai shunzhan mould lighting metal products_fail
5814,AAC Optics Changzhou Co Ltd ,Aac Optics Changzhou Co Ltd
5815, Chengrui Optics Changzhou Co Ltd,Chengrui Optics Changzhou Co Ltd
5816,BUCKINGHAM CAPACITOR Inc ,Buckingham Capacitor Inc
5817, PNC Bank NA,pnc bank na_fail
5818,Flextronics AP LLC ,Flextronics Ap Llc
5819, Flextronics International USA Inc,Flextronics International Usa Inc
5820,DONGGUAN TOK ELECTRONIC Co Ltd,Dongguan Tok Electronic Co Ltd
5821,Shanghai Eyevolution Technology Co Ltd,Shanghai Eyevolution Technology Co Ltd
5822,North China Electric Power University,North China Electric Power University
5823,Shenzhen Dawei Robot Technology Co Ltd,shenzhen dawei robot technology_fail
5824,Foshan Xin Jin Science And Technology Co Ltd,Foshan Xin Jin Science And Technology Co Ltd
5825,Harbin University of Science and Technology,Harbin University Of Science And Technology
5826,Kyocera Kinseki Corp,Kyocera Kinseki Corp
5827,Universite de Franche-Comte,Franche-comte University
5828,Korea Electronics Telecommun,Korea Electronics Telecommun
5829,韓國電子通信研究院,Korea Electronic Communication Research Institute
5830,Chipsea Technologies Shenzhen Co Ltd,Chipsea Technologies Shenzhen Co Ltd
5831,AAC Technologies Holdings Shenzhen Co Ltd,Aac Technologies Holdings Shenzhen Co Ltd
5832,New Japan Radio Co Ltd ,New Japan Radio Co Ltd
5833, Murata Manufacturing Co Ltd,Murata Manufacturing Co Ltd
5834,Shanghai Awinic Technology Co Ltd,Shanghai Awinic Technology Co Ltd
5835,Hunan Qidi Vision Technology Co Ltd,Hunan Qi Division Technology
5836,Eizoh Co Ltd,eizoh_fail
5837,Ｎｅｃカシオモバイルコミュニケーションズ株式会社,"Nec Casio Mobile Communications Co., Ltd."
5838,Hartmut Rudmann,Hartmut Rudmann
5839,Michel Barge,Michel Barge
5840,京セラドキュメントソリューションズ株式会社,京セラドキュメントソリューションズ株式会社_fail
5841,索尼半導體解決方案公司,Sony Semiconductor Solution Company
5842,Chief Land Electronic Co Ltd,Chief Land Electronic Co Ltd
5843,Mide Technology Corp,Mide Technology Corp
5844,Northrop Grumman Litef GmbH,Northrop Grumman Litef Gmbh
5845,Centre National De La Recherche Scientifique,Scientific Research National Center
5846,Universite De Franche-Comte,Franche-comte University
5847,Ecole Nationale Superieure De Mecanique Et Des Microtechniques,National School School Of Mechanics And Microtechnics
5848,Auburn University,Auburn University
5849,Ricoh Industrial Solutions Inc,Ricoh Industrial Solutions Inc
5850,Nippon Signal Co Ltd,Nippon Signal Co Ltd
5851,MBDA Deutschland GmbH,mbda deutschland gmbh_fail
5852,Lumileds LLC,Lumileds Llc
5853,NEC Corp ,Nec Corp
5854, National Institute of Advanced Industrial Science and Technology AIST,National Institute Of Advanced Industrial Science And Technology Aist
5855,Volkswagen Aktiengesellschaft,volkswagen aktiengesellschaft_fail
5856,Johnson Electric SA,johnson electric sa_fail
5857,Varroc Lighting Systems sro,Varroc Lighting Systems Sro
5858,Jiangsu Xinyun Molding Technology Co ltd,jiangsu xinyun molding technology_fail
5859,제트카베 그룹 게엠베하,제트카베 그룹 게엠베하_fail
5860,Italdesign-Giugiaro S.P.A.,italdesign-giugiaro s.p.a._fail
5861,Eg Service Kk,Eg Service Kk
5862,國立中央大學,National Central University
5863,Shenzhen Appotronics Corp Ltd,Shenzhen Appotronics Corp Ltd
5864,AML Systems SAS,Aml Systems Sas
5865,Mitsubishi Power Ltd,Mitsubishi Power Ltd
5866,"Jiangxi Wanglai Technology Co.,Ltd.","Jiangxi To Technology Co., Ltd."
5867,日本信号株式会社,"Japan Signal Co., Ltd."
5868,I Pex Inc,I Pex Inc
5869,"XI'AN LANGWEI TECHNOLOGY Co.,Ltd.","Xi'an Langwei Technology Co.,ltd."
5870,Anritsu Corp,Henritko Rp
5871,Nippon Signal Co Ltd ,Nippon Signal Co Ltd
5872, Miyota KK,Myica Kk
5873, Universite de Franche-Comte ,universite de franche-comte_fail
5874, Ecole Nationale Superieure de Mecanique et des Microtechniques,ecole nationale superieure de mecanique et des microtechniques_fail
5875,Kyoto University ,Kyoto University
5876,Panasonic Ip Corp America,Panasonic Ip Corp America
5877,Shimadzu Corp ,Is The Mad Group Corp
5878, Shimazu Seisakusho KK,shimazu seisakusho kk_fail
5879,Unilever NV,Unilever Nv
5880,Valtrus Innovations Ltd ,Valtrus Innovations Ltd
5881, Hewlett Packard Enterprise Development LP,Hewlett Packard Enterprise Development Lp
5882,Lenovo Beijing Ltd ,Lenovo Beijing Ltd
5883, Beijing Lenovo Software Ltd,Beijing Lenovo Software Ltd
5884,EYECUE VISION TECHNOLOGIES Ltd ,Eyecue Vision Technologies Ltd
5885, Eyecue Vision Tech Ltd,Eyecue Vision Tech Ltd
5886,삼성디지털이미징 주식회사,"Samsung Digital Imaging Co., Ltd."
5887,엠텍비젼 주식회사,엠텍비젼 주식회사_fail
5888,Dacuda Ag,dacuda ag_fail
5889,주식회사 인피니트헬스케어,"Infinite Healthcare Co., Ltd."
5890,圓展科技股份有限公司,圓展科技股份有限公司_fail
5891,Nxp B.V.,Nxp B.v.
5892,Beijing Aixin Technology Co ltd,Beijing Love Technology
5893,Lockheed Martin Corporation,Lockheed Martin Corporation
5894,Shabtay Gal,Sheltered To
5895,Robert Goldenberg Ephraim,Robert Goldenberg Ephraim
5896,Dror Michael,Dror Michael
5897,Bachar Gil,bachar gil_fail
5898,Yedid Itay,Yedid Dad
5899,AMCHAEL VISUAL Tech CORP,Amchael Visual Tech Corp
5900,Yujing Optoelectronics Xiamen Co ltd,The Warning Optoelectronic Is Xiamen
5901,주식회사 세코닉스,"Seconix Co., Ltd."
5902,Huawei Tech Co Ltd,Huawei Tech Co Ltd
5903,大陸商信泰光學（深圳）有限公司,大陸商信泰光學（深圳）有限公司_fail
5904,Zhejiang Sunny Optics Co Ltd,Zhejiang Sunny Optics Co Ltd
5905,국방과학연구소,Defense Science Research Institute
5906,OneSubsea IP UK Ltd ,Onesubsea Ip Uk Ltd
5907, Cameron International Corp,Cameron International Corp
5908,Telesto GmbH,Gmbe
5909,Visunex Medical Systems Co Ltd,Visunex Medical Systems Co Ltd
5910,Lighthouse Worldwide Solutions Inc,Lighthouse Worldwide Solutions Inc
5911,"Mivue, Inc.","Catue, Inc."
5912,Stryker Corporation,Stryker Corporation
5913,Broadspot Imaging Corp,Broadspot Imaging Corp
5914,Cupris Limited,Cupris Limited
5915,Physio Control Inc,Physio Control Inc
5916,OBP Medical Corp,Obp Medical Corp
5917,Heine Optotechnik GmbH and Co KG ,Heine Optotechnik Gmbh And Co Kg
5918, Heine Optotechnik KG,Heine Optotechnik Kg
5919,David KOHN BITRAN,David Elbow Spending
5920,London School of Hygiene and Tropical Medicine,London School Of Hygiene And Tropical Medicine
5921,Invention Science Fund II LLC,Invention Science Fund Ii Llc
5922,"Cellscope, Inc.","Cellscope, Inc."
5923,Andrea Russo,Andrea Russo
5924,University of Massachusetts UMass,University Of Massachusetts Umass
5925,Endoluxe Inc.,Endoluxe Inc.
5926,Comprehensive Telemedicine,Comprehensive Telemedicine
5927,University of Akron,University Of Akron
5928,Matthew Rickard,Matthew Rickard
5929,Jones Creed,Jones Creed
5930,Carl Zeiss Meditec AG ,Carl Zeiss Meditec Ag
5931, Carl Zeiss Meditec Inc,Carl Zeiss Meditec Inc
5932,Aclon Research Ltd ,Aclon Research Ltd
5933,Coinedbox Inc,Coinedbox Inc
5934,Invuity Inc,Invuity Inc
5935,Smart Vision Labs,Smart Vision Labs
5936,Mobileodt Ltd,Mobileodt Ltd
5937,Onetrac Surgical LLC,Onetrac Surgical Llc
5938,Myco Industries Inc,Myco Industries Inc
5939,Biosense Webster Israel Ltd,Biosense Webster Israel Ltd
5940,Spect Inc,Spect Inc
5941,Fresh Pond Ventures LLC,Fresh Pond Ventures Llc
5942,CHANGCHUN DEXIN PHOTOELECTRIC TECHNOLOGY CO LTD,Changchun Dexin Photoelectric Technology Co Ltd
5943,Karl Leibinger Medizintechnik GmbH and Co KG,Karl Leibinger Mediziertechnik Gmbh And Co Kg
5944,Tareq Issam Nabhan,Tartassma Yourmam
5945,A Monteoliva Guillermo,The Monteoliva Guillermo
5946,Roxana Saidman Gabriela,Roxana Saidman Gabriela
5947,Verathon Inc,Verthone Inc
5948,MPI Inc,Mpi Inc
5949,Spect Inc.,Spect Inc.
5950,Egyptian Commerce Co Eco,Egyptian Commerce Co Eco
5951,Tth Board Of Trustees Of The University Of Illinois,Tth Board Of Trustees Of The University Of Illinois
5952,Endoluxe Inc,Endoluxe Inc
5953,3GEN Inc,3gen Inc
5954,College of the Holy and Undivided Trinity of Queen Elizabeth near Dublin,College Of The Holy And Undivided Trinity Of Queen Elizabeth Near Dublin
5955,Notal Vision Ltd,Notal Vision Ltd
5956,"Tusker Medical, Inc.","Tusker Medical, Inc."
5957,3GEN Inc ,3gen Inc
5958, Dermlite LLC,Dermlite Llc
5959,Tympa Health Tech Ltd,Tympa Health Tech Ltd
5960,OPTOTUNE SWITZERLAND AG,Optotune Switzerland Ag
5961,Optomed Oyj,Optomed Oyj
5962,Ziphycare Inc,Ziphycare Inc
5963,The University Of Akron,The University Of Akron
5964,Tomtec Imaging Systems GmbH ,Tomtec Imaging Systems Gmbh
5965, Qioptiq Photonics GmbH and Co KG,Qioptiq Photonics Gmbh And Co Kg
5966,Gabriela Roxana SAIDMAN,Gabriela Roxana Saidman
5967,Guillermo Andres MONTEOLIVA,Guillermo Andres Monteoliva
5968,Osama Mossad Ali Shabana,Osama Musaad On Our People
5969,Notal Vision Ltd.,Notal Vision Ltd.
5970,Tympa Health Technologies Ltd,Tympa Health Technologies Ltd
5971,日商Ｍｐｉ股份有限公司,"Japan Business Mpi Co., Ltd."
5972,Optomed PLC,Optomed Plc
5973,Ukrainksy Gennady,Ukrainks Gennady
5974,Remmie Inc,Remmie Inc
5975,CUPRIS Ltd,Cupris Ltd
5976,Remidio Innovative Solutions Pvt. Ltd.,Remidio Innovative Solutions Pvt. Ltd.
5977,Nanjing Nuoyuan Medical Devices Co Ltd,Nanjing Nuoyuan Medical Devices
5978,Hitachi Media Electronics Co Ltd,Hitachi Media Electronics Co Ltd
5979,주식회사 이노칩테크놀로지,"Inno Chip Technology Co., Ltd."
5980,피에조모터 웁살라 에이비,Pie Motor Uppsala Avy
5981,Teijin Ltd ,Teijin Ltd
5982,Minolta Co Ltd ,Minolta
5983,China Airborne Missile Academy,China Airborne Missile Academy
5984,Johnson Electric Shenzhen Co Ltd,Johnson Electric Shenzhen Co Ltd
5985,Shinshu University NUC,Shinshu University Nuc
5986,"Autex Co., Ltd.","Autex Co., Ltd."
5987,FUJI PHOTO FILM Co Ltd AND FUJINON Corp ,Fuji Photo Film Co Ltd And Fujinon Corp
5988, Fujinon Corp ,Near Corp Nearby
5989,Toda; Kohji,Too; Ko Hji
5990,Clay Paky SpA,Clay Paky Spa
5991,Attocube Systems AG,Attocube Systems Ag
5992,MUVEE TECHNOLOGIES Pte Ltd,Muvee Technologies Pte Ltd
5993,Deutsche Telekom AG,Deutsche Telekom Ag
5994,Thales Avionics Inc,Thales Avionics Inc
5995,Lapis Semiconductor Co Ltd,Lapis Semiconductor Co Ltd
5996,Toshiyuki Furuta,Ryoyuki Furuta
5997,Tomohiko Beppu,Tomohiko Beppu
5998,Naoki Kozuka,Naoki Kozuka
5999,Satoshi Suga,satoshi suga_fail
6000,Sadao Takahashi,sadao takahashi_fail
6001,Yasuhiro Sato,yasuhiro sato_fail
6002,Takashi Ohkuma,takashi ohkuma_fail
6003,Yasuhiro Ono,Yasuhiro No
6004,Hirofumi Horikawa,hirofumi horikawa_fail
6005,Marvell International Ltd,Marvell International Ltd
6006,Leica Geosystems AG,Leica Geosystems Ag
6007,Perspective Components Inc,Perspective Components Inc
6008,"DREAM CHIP TECHNOLOGIES GMBH, DE","Dream Chip Technologies Gmbh, De"
6009,Hitachi Image Information Systems Inc ,Hitachi Image Information Systems Inc
6010, Hitachi Advanced Digital Inc,Hitachi Advanced Digital Inc
6011,Perpetuum Ltd,Permanently Ltd
6012,(주)에이딕,(주)에이딕_fail
6013,Saitama University NUC,Saitama University Nuc
6014,Murata Manufacturing Co Ltd ,Murata Manufacturing Co Ltd
6015, Omron Healthcare Co Ltd,Omron Healthcare Co Ltd
6016,蔡从中,Cai Congzhong
6017,주식회사 엠플러스,"Mplus Co., Ltd."
6018,Marco Systemanalyse und Entwicklung GmbH,Marco System Analysis And Development Gmbh
6019,研能科技股份有限公司,研能科技股份有限公司_fail
6020,"Microjet Technology Co., Ltd.","Microjet Technology Co., Ltd."
6021,Beijing Machinery Equipment Research Institute,Beijing Machinery Equipment Research Institute
6022,Guangzhou University,Guangzhou University
6023,Kubota Corp,Kubota Corp
6024,Yamaguchi University ,Yamaguchi University
6025, Institute of National Colleges of Technologies Japan,Institute Of National Colleges Of Technologies Japan
6026,Chengdu CAIC Electronics Co Ltd,Chengdu Caic Electronics Co Ltd
6027, PRO Tech DESIGN Corp,Pro Tech Design Corp
6028,Oji Holdings Corp,Oji Holdings Corp
6029, Shizuki Electric Co Inc,Shizuki Electric Co Inc
6030,New Oji Paper Co Ltd ,New Oji Paper Co Ltd
6031, Oji Holdings Corp,Oji Holdings Corp
6032,Mitsubishi Petrochemical Co Ltd,Mitsubishi Petrochemical Co Ltd
6033,Agrint Sensing Solutions Ltd,Agrint Sensing Solutions Ltd
6034,Starshine Technology Corp,Starshine Technology Corp
6035, Kansai University,Kansali University
6036,Jaguar Land Rover Ltd,Jaguar Land Rover Ltd
6037, Tokyo University of Science ,Tokyo University Of Science
6038, Kyoto University ,Kyoto University
6039, National Institute of Advanced Industrial Science and Technology AIST ,National Institute Of Advanced Industrial Science And Technology Aist
6040, Tokyo Institute of Technology NUC ,Tokyo Institute Of Technology Nuc
6041, University of Yamanashi NUC,University Of Yamanashi Nuc
6042, SOPHIA Univ ,Sophia Univ
6043,SOPHIA UNIVERSITY ,Sophia University
6044, Canon Inc ,Canon Inc
6045, Tokyo Institute of Technology NUC,Tokyo Institute Of Technology Nuc
6046, Sophia School Corp,Sophia School Corp
6047,Beijing Hongdian Internet Technology Research And Development Co Ltd ,Beijing Hongdian Internet Technology Research And Development Co Ltd
6048, Peking University,Peking University
6049,Beijing Hongdian Internet Technology Research And Development Co Ltd,Beijing Hongdian Internet Technology Research And Development Co Ltd
6050,Honda Electronics Co Ltd,Honda Electronics Co Ltd
6051,SHANGHAI INSTITUTE OF BIOCHEMICSTY CHINESE ACADEMY OF SCIENCES ,Shanghai Institute Of Biochemicsty Chinese Academy Of Sciences
6052, KGS Corp,Kgs Corp
6053,Orbital Research Inc,Orbital Research Inc
6054,Kansai University,Kansali University
6055,Aozhixin Digital Technology Co ltd,Aozhixin Digital Technology Co Ltd
6056,Tianma Microelectronics Co Ltd,Tianma Microelectronics Co Ltd
6057,Peking University,Peking University
6058,帝人株式会社,帝人株式会社_fail
6059,学校法人関西大学,School Corporation Kansai University
6060,Optis Co Ltd,Optical
6061,Claas E Systems GmbH,Claas E Systems Gmbh
6062,Cymatics Laboratories Corp,Cymatics Laboratories Corp
6063,Shaanxi University of Science and Technology,Shaanxi University Of Science And Technology
6064,Toshiba TEC Corp ,Toshiba Tec Corp
6065, Hosei University,Hosei University
6066,(주)와이솔,"Wisol Co., Ltd."
6067,Toshiba TEC Corp,Toshiba Tec Corp
6068,Changzhou Chengxin Semiconductor Co Ltd,Changzhou Integrity Semiconductor
6069,SERATECH KK,seratech kk_fail
6070,精浚科技股份有限公司,"Jingjun Technology Co., Ltd."
6071,Meitec Corp,Meitec Corp
6072,ピエゾモーター ウプサラ エービー,ピエゾモーター ウプサラ エービー_fail
6073,Rikogaku Shinkokai,rikogaku shinkokai_fail
6074,NATIONAL UNIVERSITY Corp NAGAOKA UNIVERSITY ,National University Corp Nagaoka University
6075, Daihatsu Motor Co Ltd,The First Principal R
6076,Toyoda Gosei Co Ltd,Toyoda V
6077, Victor Doha Su Co Ltd,victor doha su_fail
6078,Geke Microelectronics Shanghai Co Ltd,Geke Microelectronics Shanghaii
6079,"Shenzhen Guangfeng Holding Co.,Ltd.","Shenzhen Guangfeng Holding Co., Ltd."
6080,"Huayu vision technology (Wuhan) Co., Ltd","Huayu Vision Technology (wuhan) Co., Ltd"
6081,Osram Beteiligungsverwaltung GmbH,Osram Beteiligungsverwaltung Gmbh
6082,현대아이에이치엘 주식회사,"Hyundai Eye Hl Co., Ltd."
6083,Minebea Co Ltd,Minebea
6084,SMR Patents SARL,Smr Patents Sarl
6085,HASCO Vision Technology Co Ltd,Hasco Vision Technology Co Ltd
6086,기아자동차주식회사,"Kia Motors Co., Ltd."
6087,Optonomous Technologies Inc,Optonomous Technologies Inc
6088,Bright Sharp Holdings Ltd,Bright Sharp Holdings Ltd
6089,"Varroc Lighting Systems, s.r.o.","Varroc Lighting Systems, S.r.o."
6090,Fuji Kiko Co Ltd ,Fujiko
6091, JTEKT Corp,Jpekt Corp
6092,Koki Holdings Co Ltd ,Trees Holding
6093,"Onix Microsystems, Inc.","Onix Microsystems, Inc."
6094,SUNRAY SCIENTIFIC LLC,Sunray Scientific Llc
6095,Immunolight LLC,Immunolight Llc
6096,InterDigital VC Holdings Inc,Interdigital Vc Holdings Inc
6097,Shanghai Pu Huasen Biotechnology Co ltd,Shanghai Pu Huasen Biotechnology Co Ltd
6098,Tianjin Jinhang Institute of Technical Physics,Tianjin Jinhang Institute Of Technical Physics
6099,Largan Digital Co Ltd,Largan Digital Co Ltd
6100,Yujing Optoelectronics Xiamen Co Ltd,The Warning Optoelectronic Is Xiamen
6101,Asahi Kasei Electronics Co Ltd,Asahhi Kasei Electronics
6102,New Shicoh Technology Co Ltd,New Shicoh Technology Co Ltd
6103,征宏 滝本,Seihiro Takimoto
6104,慶一 佐藤,Keiichi Sato
6105,一郎 林,Ichiro Forest
6106,大陸商三贏科技（深圳）有限公司,"Mainland Shang San Win Technology (shenzhen) Co., Ltd."
6107,ALPHA LABO SOLUTION Ltd,Alpha Labo Solution Ltd
6108,アルプスアルパイン株式会社,"Alps Alpine Co., Ltd."
6109,Asahi Kasei EMD Corp,Asahhi Kasei Emd Corp
6110,Integrated Micro Electronics Inc,Integrated Micro Electronics Inc
6111,大陸商廣州立景創新科技有限公司,"Mainland Shang Guangzhou Lijing Innovation Technology Co., Ltd."
6112,Huizhou Sagetech Optronics Co Ltd,Huizhou Sagetech Optronics Co Ltd
6113,코니카 미놀타 어드밴스드 레이어즈 인코포레이티드,Konica Minolta Advanced Layers Incoporited
6114,미쓰미덴기가부시기가이샤,Mitsumi Dengi Is Bushi Gaisha
6115,히다치 막셀 가부시키가이샤,Hitachi Maksel Gubusikaisha
6116,SEB SA,Seb Sa
