,from,to
3704,University of Toronto,University Of Toronto
3705,University Of Utah Research Foundation,University Of Utah Research Foundation
3706,University of Utah Research Foundation UURF,University Of Utah Research Foundation Uurf
3707, Universitat de Valencia,University Of Valencia
3708,Universitat De Valencia,University Of Valencia
3709,University Of Virginia Patent Foundation,University Of Virginia Patent Foundation
3710, University of Washington,University Of Washington
3711,University of Washington,University Of Washington
3712,Unknown,Unknown
3713,UNM Rainforest Innovations,Unm Rainforest Innovations
3714,Upskill Inc,Upskill Inc
3715,Uptotunni Consumer Products Co ltd,Uptotunni Consumer Products Co Ltd
3716,Uraniom,Uranium
3717,US Air Force,Us Air Force
3718,US Army Research Laboratory ,Us Army Research Laboratory
3719, US Bancorp Card Sevices Inc,Us Bancorp Card Sevices Inc
3720, US Department of Army,Us Department Of Army
3721,US Department of Army,Us Department Of Army
3722,US Department of Army ,Us Department Of Army
3723,US Department of Energy,Us Department Of Energy
3724,US Department of Energy ,Us Department Of Energy
3725, US Department of Navy,Us Department Of Navy
3726,US Department of Navy,Us Department Of Navy
3727,美国华格照明公司,Us Higgian Lighting Company
3728, US Philips Corp,Us Philips Corp
3729,US Philips Corp,Us Philips Corp
3730, US WAC Lighting Inc,Us Wac Lighting Inc
3731,UT Battelle LLC ,Ut Battelle Llc
3732,UV CORP ,Uv Corp
3733,Uwm Res Found Inc ,Uwm Res Found Inc
3734, UWM Res Foundation Inc,Uwm Res Foundation Inc
3735,Valdemar Portney,Valdemar Portney
3736,Valeo North America Inc,Valeo North America Inc
3737,Valeo Schalter Und Sensoren Gmbh,Valeo Switches And Sensors Gmbh
3738,Valeo Vision SA,Valeo Vision In
3739,Valve Corp,Valve Corp
3740,Valve Corporation,Valve Corporation
3741,Van Der Laan Roger,Van Der Laan Roger
3742,Vanbeek Allen L,Vanbeek Allen L
3743,Vanderbilt University,Vanderbilt University
3744,VanGogh Imaging Inc,Vangogh Imaging Inc
3745,Kody Varahramyan,Varahramyan Codes
3746,Vari Lite Inc,Vari Lite Inc
3747,Varioptic,Varioptic
3748,Varioptic SA,Varioptic SA
3749,Varioptic Sa,Varioptic Sa
3750,Varjo Technologies Oy,Varjo Technologies Oy
3751,V-Armed Inc,V-armed Inc
3752,Vasstek International Corp,Vasstek International Corp
3753,VCODE HOLDINGS Inc,Vcode Holdings Inc
3754,Vefxi Corp,Vefxi Corp
3755,Vega Grieshaber KG,Vega Grieshaber Kg
3756, Vencore Services and Solutions Inc,Vencore Services And Solutions Inc
3757, Vencore Services and Solutions Inc ,Vencore Services And Solutions Inc
3758,ヴェンチュラ ホールディングス リミテッド,Ventura Holdings Limited
3759,ヴェンチュラ ホールディングス リミテッドＶｅｎｔｕｒａ Ｈｏｌｄｉｎｇｓ Ｌｔｄ．,Ventura Holdings Limited Ventura Holdings Ltd.
3760, Venture Lending and Leasing IV Inc,Venture Lending And Leasing Iv Inc
3761,Bernt Christian Skotton,Verd Christian Scottish
3762,Vergent Research Pty Ltd,Vergent Research Pty Ltd
3763, Verily Life Sciences LLC,Verily Life Sciences Llc
3764,Verily Life Sciences LLC,Verily Life Sciences Llc
3765,Verizon Patent And Acessing Inc ,Verizon Patent And Acessing Inc
3766, Verizon Patent and Licensing Inc,Verizon Patent And Licensing Inc
3767,Verizon Patent and Licensing Inc,Verizon Patent And Licensing Inc
3768,VERSANA MICRO Inc,Versana Micro Inc
3769,Versana Micro Inc,Versana Micro Inc
3770,Vespyr Inc,Vespyr Inc
3771,维沃移动通信有限公司,"Vevo Mobile Communications Co., Ltd."
3772,Vexcel Imaging US Inc,Vexcel Imaging Us Inc
3773,Viavi Solutions Inc,Viavi Solutions Inc
3774,Vibrant Composites Inc,Vibrant Composites Inc
3775,Viktor Malyarchuk,Victor Malalchuk
3776, VideolQ Inc,Video Inch
3777,Vidoni Inc,Vidoni Inc
3778,Vijayakumar Bhagavatula,Vijayakumar Bhagavatala
3779,Vijendra Sahi,Vijendra Right
3780,Viking Systems Inc ,Viking Systems Inc
3781,Vincent Pace,Vincent Pace
3782,Virgil Stark,Virgil Stark
3783,Virtual 3 D Technologies Corp,Virtual 3 D Technologies Corp
3784,Visa International Service Association,Visa International Service Association
3785,Visaq Limited,Visaq Limited
3786,Vishay Siliconix Inc,Vishay Siliconix Inc
3787,Visiogen Inc,Visiogen Inc
3788,VISION DYNAMICS LLC,Vision Dynamics Llc
3789,Vision Engineering Limited,Vision Engineering Limited
3790,Vision III Imaging Inc,Vision Iii Imaging Inc
3791,Vision Pharmaceuticals LP ,Vision Pharmaceuticals Lp
3792,VisionGate Inc,Visiongate Inc
3793,"Visiongate, Inc.","Visiongate, Inc."
3794, Vista Medical Tech Inc,Vista Medical Tech Inc
3795,Vistec Electron Beam GmbH,Vistec Electron Beam Gmbh
3796,Visual Live 3d LLC,Visual Live 3d Llc
3797,Visual Physics LLC,Visual Physics Llc
3798,Visual Vertigo Software Technologies GmbH,Visual Vertigo Software Technologies Gmbh
3799,VISYA PARTNERS,Visya Partners
3800,Vitaltech Properties LLC,Vitaltech Properties Llc
3801,"Vitaltech Properties, Llc","Vitaltech Properties, Llc"
3802,Vivo Mobile Communication Co Ltd,Vivo Mobile Communication Co Ltd
3803,Vivo Mobile Communication Hangzhou Co Ltd,Vivo Mobile Communication Co Ltd
3804,Vivotek Inc,Vivotek Inc
3805,Володимир Іванович Голуб,Vladimir Golub
3806,Владимир Иванович ГОЛУБЬ,Vladimir Ivanovich Pigeon
3807,Vocollect Healthcare Systems Inc,Vocollect Healthcare Systems Inc
3808,Vocollect Inc,Vocollect Inc
3809,Vodafone GmbH,Vodafone Gmbh
3810, Void LLC,Void Llc
3811,ヴォルカノ コーポレイション,Volcano Corporation
3812,Volcano Corporation,Volcano Corporation
3813,VOLUGRAPHICS Inc,Volugraphics Inc
3814,"Vot Funding A Delaware (""vot'') LLC LLC ","Vot Funding A Delaware (""vot'') Llc Llc"
3815, Vr Leo Usa Inc,Vr Leo Usa Inc
3816,Vrvaorigin Vision Technology Corp Ltd,Vrvaorigin Vision Technology Corp Ltd
3817,Vrvaorigin Vision Technology Corp ltd,Vrvaorigin Vision Technology Corp Ltd
3818,"Vspatial, Inc.","Vspatial, Inc."
3819,VTouch Co Ltd,Vtouch
3820,Vuzix Corp,Vuzix Corp
3821,Vuzix Corporation,Vuzix Corporation
3822,Wakayama Univ,Wakayama Uni V
3823,Walman Gerald B,Walman Gerald B
3824,Walmart Apollo LLC,Walmart Apollo Llc
3825,王雪燕,Wang Xueyan
3826,Wang Ynjiun P,Wang Ynjiun P
3827,王子南,Wang Zinan
3828,王子强,Wang Ziqiang
3829,Yao-Tzung Wang,Want
3830,Warner Bros. Entertainment Inc.,Warner Bros. Entertainment Inc.
3831,Warren Penny G.,Warren Penny G.
3832, Washington University in St Louis WUSTL,Washington University In St Louis Wustl
3833, WatchGuard Video Inc,Watchguard Video Inc
3834,Watec America Corp,Watec America Corp
3835,Wave Optics Ltd,Wave Optics Ltd
3836,Wavelens,Wavelens
3837,WAVELENS ,Wavelens
3838,Wavelight GmbH,Wavelight Gmbh
3839,Waygate Technologies USA LP,Waygate Technologies Usa Lp
3840,Waymo Llc,Waymo Llc
3841,Waymo LLC,Waymo Llc
3842,Webb Garth T,Webb Garth T
3843, WEBER SALLY,Weber Sally
3844, Webster Capital LLC,Webster Capital Llc
3845,Webster Capital LLC,Webster Capital Llc
3846,Webster Capital Llc,Webster Capital Llc
3847,Fercher Adolf F.,Wednesday Adolf F.
3848,Wehrenberg Paul J,Wehrenberg Paul J
3849,緯創資通股份有限公司,"Weicheng Zitong Co., Ltd."
3850,Weifang Goertek Electronics Co Ltd,Weifang Goertek Electronics Co Ltd
3851,Weifang University,Weifang University
3852,Weisong Wang,Weisong Wang
3853, Welch Allyn Data Collection Inc,Welch Allyn Data Collection Inc
3854,Welch Allyn Data Collection Inc,Welch Allyn Data Collection Inc
3855,Welch Allyn Inc,Welch Allyn Inc
3856,Wells Fargo Bank NA,Wells Fargo Bank Na
3857,Wenzhou University,Wenzhou University
3858,Xidian Univ,West Point Un Iv
3859,West Texas Technology Partners LLC,West Texas Technology Partners Llc
3860,Western Digital Technologies Inc,Western Digital Technologies Inc
3861,Yang En University,Which Mr. University
3862,White John G,White John G
3863,Wiley Robert G,Wiley Robert G
3864,WILKINS BRENT L ,Wilkins Brent L
3865, WILKINS JEFFERY N,Wilkins Jeffery N
3866,VisEra Technologies Co Ltd ,Will Aim For Technologies
3867,William Kokonaski,William Kokoaski
3868,Feng-Qing Sun,Wind-green Bamboo Shoots
3869,Winnek Douglas Fredwill,Winnek Douglas Fredwill
3870, Wintek Corp,Wintek Corp
3871,Wipro Ltd,Wipro Ltd
3872,Wisconsin Alumni Research Foundation,Wisconsin Alumni Research Foundation
3873,Wistron Corp,Wistron Corp
3874,Takakazu Muto,Without High Numbers
3875,W-J (DELAWARE) Inc ,W-j (delaware) Inc
3876,WJ ACQUISITION CORP ,Wj Acquisition Corp
3877,Wobben Properties GmbH,Wobben Properties Gmbh
3878,Wolters Kluwer ELM Solutions Inc,Wolters Kluwer Elm Solutions Inc
3879,Woods Randall L,Woods Randall L
3880,BYD Co Ltd,World
3881,Wright Ltd By Share Ltd ,Wright Ltd By Share Ltd
3882, WSOU Investments LLC,Wsou Investments Llc
3883,WSOU Investments LLC,Wsou Investments Llc
3884,Wuhan Hongxin Technology Development Co Ltd,Wuhan Rain Technology Technology Development
3885, Wuhan Tianma Microelectronics Co Ltd,Wuhan Tianma Microelectronics Co Ltd
3886,"Wuhan Tianma Microelectronics Co.,Ltd. Shanghai Branch ","Wuhan Tianma Microelectronics Co.,ltd. Shanghai Branch"
3887,Wuhan University of Technology WUT,Wuhan University Of Technology Wut
3888,Wuhan University WHU,Wuhan University Whu
3889,WUHU CEPREI INFORMATION INDUSTRY TECHNOLOGY RESEARCH INSTITUTE Co Ltd,Wuhu Ceprei Information Industry Technology Research Institute Co Ltd
3890,WUXI CINSEC INFORMATION TECHNOLOGY Co Ltd,Wuxi Cinsec Information Technology Co Ltd
3891,X Development LLC,X Development Llc
3892,X Display Company Technology Ltd ,X Display Company Technology Ltd
3893, X3D Technologies GmbH,X3d Technologies Gmbh
3894,X6D Ltd,X6d Ltd
3895,Xaar Technology Ltd,Xaar Technology Ltd
3896,Xacti Corp,Xacti Corp
3897,Xceed Imaging Ltd,Xceed Imaging Ltd
3898,Xcelsis Corp,Xcelsis Corp
3899,Xenocor Inc,Xenocor Inc
3900,Xerox Corp,Xerox Corp
3901,"Xiamen Sanan Integrated Circuit Co., Ltd.","Xiamen Sanan Integrated Circuit Co., Ltd."
3902,Xiamen Tianma Microelectronics Co Ltd,Xiamen Tianma Microelectronics Co Ltd
3903,Xiamen University,Xiamen University
3904,Xi'an Cas Microstar Optoelectronics Technology Co ltd,Xi'an Cas Microstar Optoelectronics Technology Co Ltd
3905,"Xi'an Huiju yunchuang Electronic Technology Co.,Ltd.","Xi'an Gather Cloud Window Electronic Technology Co., Ltd."
3906,Xian Polytechnic University,Xian Polytechnic University
3907,Xian Jiaotong University,Xi'an Transportation University
3908,Xian University of Technology,Xian University Of Technology
3909,Xian Wingtech Electronic Technology Co Ltd,Xian Wingtech Electronic Technology Co Ltd
3910,Xi'an Yishen Optoelectronics Technology Co Ltd,Xi'an Yishen Optoelectronics Technology Co Ltd
3911,"Xi'an Yisheng Photoelectric Technology Co., Ltd.","Xi'an Yisheng Photoelectric Technology Co., Ltd."
3912,Shuxiang Dong,Xiangxiang To The East
3913,新科實業有限公司,"Xinke Industrial Co., Ltd."
3914,新科實業有限公司ＳＡＥ Ｍａｇｎｅｔｉｃｓ（Ｈ．Ｋ．）Ｌｔｄ．,"Xinke Industrial Co., Ltd. Sae Mae Magnetics (h.k.) Ltd."
3915,信泰光學（深圳）有限公司,"Xintai Optics (shenzhen) Co., Ltd."
3916,新煒科技有限公司,"Xinyi Technology Co., Ltd."
3917,XOWA COMPANY Ltd,Xowa Company Ltd
3918,许宏,Xu Hong
3919,玄烔沅,Xuanzhuang
3920,Xylon LLC,Xylon Llc
3921,Yahoo Inc,Yahoo Inc
3922,Yaakov Amitai,Yakov Amit
3923,Yamamoto Kogaku Co Ltd,Yamamoto Hakusaku
3924,Yanbin Yu,Yan Bin And
3925, Yangtze Delta Region Institute of Tsinghua University Zhejiang,Yangtze Delta Region Institute Of Tsinghua University Zhejiang
3926,YANGXIN TECHNOLOGY Co Ltd ,Yangxin Technology Co Ltd
3927,Yazaki Corp,Yazaki Corp
3928,YDEA RESEARCH AND DEVELOPMENT ,Ydea Research And Development
3929, Yeda Research and Development Co Ltd,Yeda Research And Development Co Ltd
3930,Yeda Research and Development Co Ltd ,Yeda Research And Development Co Ltd
3931,YesVideo Inc,Yesvideo Inc
3932,Ynjiun Wang,Ynjiun Wang
3933,Yoav Shefi,Yoav Chief
3934,연세대학교 산학협력단,Yonsei University Industry -academic Cooperation Group
3935,Yosef Gross,Yosef Gross
3936,Yoshiaki Hara,Yoshiaki's Belly
3937,洋義 関口,Yoshikuchi
3938,高橋 禎郎,Yoshiro Takahashi
3939,Yossi Gross,Yossi Gross
3940,AI Inc,You Have Inc
3941,Young Optics Inc,Young Optics Inc
3942,源奇科技股份有限公司,"Yuanqi Technology Co., Ltd."
3943,高橋 祐二,Yuji Takahashi
3944,Yulong Computer Telecommunication Scientific Shenzhen Co Ltd,Yulong Computer Telecommunication Scientific Shenzhen Co Ltd
3945,"YUNNAN UNITED VISUAL TECHNOLOGY Co.,Ltd.","Yunnan United Visual Technology Co.,ltd."
3946,Yury Belyaev,Yuri Belyaev
3947,Iurii Shapoval,Yuri Shapalal
3948,Youval Katzman,Yuval Qutzma
3949,佑 山田,Yuyamada
3950,"Z Lens, Llc","Z Lens, Llc"
3951,"Zarrabi, Alireza","Zarrabi, Alireza"
3952,Zebra Medical Technologies Inc,Zebra Medical Technologies Inc
3953, Zebra Technologies Corp,Zebra Technologies Corp
3954,Zebra Technologies Corp,Zebra Technologies Corp
3955,Zebra Technologies Corporation,Zebra Technologies Corp
3956,ZIH Corp ,Zeh Corp
3957,Zero Latency Pty Ltd,Zero Latency Pty Ltd
3958,ゼロックス・コーポレーション,Zerox Corporation
3959,Zhangjiagang Kangdexin Optronics Material Co Ltd,Zhangjiagang Kangdexin Optronics Material Co Ltd
3960,Zhaoqing University,Zhaoqing University
3961,Zhejiang Normal University CJNU,Zhejiang Normal University Cj Anger
3962,Zhejiang Sensetime Technology Development Co Ltd,Zhejiang Sensetime Technology Development Co Ltd
3963,浙江商汤科技开发有限公司,"Zhejiang Shangtang Technology Development Co., Ltd."
3964,浙江舜宇光学有限公司,Sunny Optical 
3965,Zhejiang Sunny Intelligent Optical Technology Co Ltd,Sunny Optical
3966,Zhejiang Sunny Optical Technology Co Ltd,Sunny Optical
3967, Zhejiang University ZJU,Zhejiang University Clause
3968,Zhejiang University ZJU ,Zhejiang University Clause
3969,Zhejiang University ZJU,Zhejiang University Zju
3970,"ZHENGZHOU YUEDA TECHNOLOGY EQUIPMENT CO.,LTD.","Zhengzhou Yueda Technology Equipment Co.,ltd."
3971,Zhongxuan Zhang,Zhong Yan Zhang
3972,Zhongke exploration innovation (Beijing) science and Technology Institute,Zhongke Exploration Innovation (beijing) Science And Technology Institute
3973,ZHONGSHAN UVATA OPTICAL Co Ltd,Zhongshan Uvata Optical Co Ltd
3974,Zhuhai Dahengqin Technology Development Co Ltd,Zhuhai Dahengqin Technology Development Co Ltd
3975,Ziv Attar,Ziv Attar
3976,ZMS LLC,Zms Llc
3977,Zograph LLC,Zograph Llc
3978,Zoox Inc,Zogx Inc
3979,Zolix Instruments Co ltd,Zolix Instruments Co Ltd
3980,zSpace Inc,Zspace Inc
3981,中兴通讯股份有限公司,"Zte Communication Co., Ltd."
3982,ZTE Corp,Zte Corp
3983,ZUHLKE ENGINEERING AG ,Zuhlke Engineering Ag
3984,Zygo Corp,Zygo Corp
3985,Zynga Inc,Zynga Inc
3986,Shenzhen Realme Mobile Communication Co Ltd,Shenzhen Realme Mobile Communication Co Ltd
3987,Liaoning Zhonglan Photoelectric Technology Co Ltd,Liaoning Zhonglan Photoelectric Technology Co Ltd
3988,Jiangxi Shengtai Precision Optics Co ltd,Jiangxi Shengtai Precision Optics Co Ltd
3989,Brandel Edward ,Brandel Edward
3990, Brodersen Jeremy ,Brother Jeremy
3991, Pinter Gilbert,Pinter Gilbert
3992,iPro Co Ltd,Ipro
3993,Rockchip Electronics Co Ltd,Rockchip Electronics Co Ltd
3994,Max Planck Gesellschaft zur Foerderung der Wissenschaften eV ,Max Planck Gesellschaft To Foerung The Sciences Ev
3995,Shenzhen Jifu Medical Technology Co ltd,Shenzhen Jifu Medical Technology Co Ltd
3996,Shengtai Photoelectric Technology Co ltd,Shengtai Photoelectric Technology Co Ltd
3997,欧菲光集团股份有限公司,Oppo
3998,江西晶润光学有限公司,"Jiangxi Jingrun Optical Co., Ltd."
3999,Miniswys SA ,Miniswys In
4000, Mitsumi Electric Co Ltd,Mitsumi Electric Co Ltd
4001,深圳市锐尔觅移动通信有限公司,"Shenzhen Ryho Mi Mi Mobile Mobile Communication Co., Ltd."
4002,Randall B Sprague,Randall B Sprague
4003,Jun Yan,Military Exercise
4004,Jason B Tauscher,Jason B Tauscher
4005,Wyatt O Davis,Wyatt O Davis
4006,John R Lewis,John R Lewis
4007,Dean R Brown,Dean R Brown
4008,Thomas W Montague,Thomas W Montague
4009,Chancellor W Brown,Chancellor W Brown
4010,XiAn Institute of Optics and Precision Mechanics of CAS,Xian Institute Of Optics And Precision Mechanics Of Cas
4011,Mcmus Drives Ltd ,Mcmus Drives Ltd
4012, MEMS Drive Inc,Mems Drive Inc
4013,Zhejiang Dahua Technology Co Ltd,"Technology, Dahua, Zhejiang Dahua"
4014,"Shengtai Photoelectric Technology Co.,Ltd.","Shengtai Photoelectric Technology Co.,ltd."
4015,Hangzhou Hikmicro Sensing Technology Co Ltd,Hangzhou Hikmicro Sensing Technology Co Ltd
4016,Guizhou University,Guizhou University
4017,Hubei Sanyingxing Photoelectric Technology Co ltd,Hubei Sanyingxing Photoelectric Technology Co Ltd
4018,Tztek Technology Co Ltd,Tztek Technology Co Ltd
4019,Shenzhen Autel Intelligent Aviation Technology Co Ltd,Shenzhen Autel Intelligent Aviation Technology Co Ltd
4020,Beijing Xloong Technologies Co ltd,Beijing Xloong Technologies Co Ltd
4021,Visteon Global Technologies Inc,Visteon Global Technologies Inc
4022,Sumitomo Electric Industries Ltd,Sumitomo Electric Industries Ltd
4023,Memjet Technology Ltd,Memjet Technology Ltd
4024,Beijing Lingyi Technology Co Ltd,Beijing Another Technology
4025,Li Dan,Li Dan
4026,InfoVision Optoelectronics Kunshan Co Ltd,Infovision Optoelectronics Kunshan Co Ltd
4027,National Institute for Materials Science,National Institute For Materials Science
4028,Ningbo Semiconductor International Corp,Ningbo Semiconductor International Corp
4029,Laser und Medizin Technologie GmbH,Laser And Medicine Technology Gmbh
4030,마루미코키 카부시키가이샤,Marumikoki Kabu Shikaisha
4031,Garth T Webb,Garth T Webb
4032,Disco Corp,Disco Corp
4033,株式会社ディスコ,"Disco Co., Ltd."
4034,일렉트로 싸이언티픽 인더스트리이즈 인코포레이티드,Electro Cyan Pick Industry Incoporited
4035,Samsung Electro-Mechanics Co Ltd,Samsung Electro-mechanics Co Ltd
4036,サムソン エレクトロ−メカニックス カンパニーリミテッド．,Samson Electro -mechanics Company Limited.
4037,주식회사 탑 엔지니어링,"Top Engineering Co., Ltd."
4038,Bartels Mikrotechnik GmbH,Bartels Mikrotechnik Gmbh
4039,パワービジョン，インコーポレイテッド,"Power Vision, Incorporated"
4040,パワービジョン， インコーポレイテッド,"Power Vision, Incorporated"
4041,ザ・リージェンツ・オブ・ザ・ユニバーシティー・オブ・カリフォルニア,The Rijenz Of The Univer City Of California
4042,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.,Fraunhofer-gesellschaft To Promote Applied Research E.v.
4043,Purdue Research Foundation,Purdue Research Foundation
4044,AREI KK,Lip
4045,SAE Magnetics HK Ltd,Sae Magnetics Hk Ltd
4046,Полайт Аса,Parthice Asa
4047,Verily Life Sciences Llc,Verily Life Sciences Llc
4048,ノウルズ ゲーエムベーハー,Knowles Geem Bayha
4049,탠텀 옵틱스 엘엘씨,Tantum Optics El Ll
4050,Vogt William I,Vogt William I
4051,Cyberark Software Ltd,Cyberark Software Ltd
4052, Digital Imaging Systems GmbH,Digital Imaging Systems Gmbh
4053,"노우레스 일렉트로닉스, 엘엘시","Nores Electronics, Llic"
4054,美商露西佛照明公司,Beauty Merchant Lucyfo Lighting Company
4055,ルクセンブルク インスティトゥート オブ サイエンス アンド テクノロジー（リスト）,Luxemburg Instate Of Science Ando Technology (list)
4056,Wuhan Tianma Microelectronics Co Ltd,Wuhan Tianma Microelectronics Co Ltd
4057,Anhui Full Color Light Display Technology Co ltd ,Anhui Full Color Light Display Technology Co Ltd
4058, Institute Of Smart City University Of Science And Technology Of China Wuhu,Institute Of Smart City University Of Science And Technology Of China Wuhu
4059,フラウンホーファー−ゲゼルシャフト・ツール・フェルデルング・デル・アンゲヴァンテン・フォルシュング・アインゲトラーゲネル・フェライン,Frown Hoofer -gezel Shaft Tool Feldelung Del Angevanten Folshungung Angetragenel Ferrine
4060,イービジョン スマート オプティクス インコーポレイテッド,Evision Smart Optics Incorporated
4061,Bazhou Yungu Electronic Technology Co ltd,Bazhou Yungu Electronic Technology Co Ltd
4062,Brooke nano surface fluorescence microscope division (fmbu),Brooke Nano Surface Fluorescence Microscope Division (fmbu)
4063,汤寅生,Tang Yinsheng
4064,Jiangxi Lianchuang Electronic Co Ltd,Jiangxi Lianchuang Electronic
4065,BRAINCHAIN AG,Brainchain Ag
4066,Yutaka Kitahara,Rich Kitahara
4067,Fukoku Co Ltd,Declaration
4068,株式会社フコク,"Fukoku Co., Ltd."
4069,Murata Manufacturing Co Ltd,Murata Manufacturing Co Ltd
4070,グーグル インコーポレイテッド,Google Incorporated
4071,포토내이션 리미티드,Photography Limited
4072,フォトネイション ケイマン リミテッド,Photonation Cayman Limited
4073,"보스턴 폴라리메트릭스, 인크.","Boston Polarimetrix, Ink."
4074,Cognex Technology and Investment LLC,Cognex Technology And Investment Llc
4075,Fibics Inc,Fibics Inc
4076,Vortex Intellectual Property Holding LLC,Vortex Intellectual Property Holding Llc
4077,Code Corp,Code Corp
4078,Protochips Inc,Protochips Inc
4079,Andrei Szilagyi,Andrei Szilagyi
4080,H. Jay Margolis,H. Jay Margolis
4081,Datalogic Scanning Inc,Datalogic Scanning Inc
4082,CONCEPTS IMPLEMENTATION GROUP MAIN ST USA ,Concepts Implementation Group Main St Usa
4083,Silverbrook Research Pty Ltd,Silverbrook Research Pty Ltd
4084,Arizona Carbon Foil Co Inc,Arizona Carbon Foil Co Inc
4085,Fujitsu Ltd ,Mysterious Ltd
4086, Fujitsu Frontech Ltd,Fujitsu Frontech Ltd
4087,Cummins Filtration IP Inc,Cummins Filtration Ip Inc
4088,株式会社オイレー企画,"Oily Planning Co., Ltd."
4089,叶占川,Ye Zhanchuan
4090,Jincheng Sanying Precision Electronics Co ltd,Jincheng Sanying Precision Electronics Co Ltd
4091,ノウルズ エレクトロニクス リミテッド ライアビリティ カンパニー,Knowles Electronics Limited Liability Company
4092,Wavelight Gmbh,Wavelight Gmbh
4093,Tokyo Seimitsu Co Ltd,Tokyo Precision
4094,Margolis H Jay,Margolis H Jay
4095,"Spectra-Physics Scanning Systems, Inc.","Spectra-physics Scanning Systems, Inc."
4096,Intermec Ip Corp.,Intermec Ip Corp.
4097,Adaptica Srl,Adaptica Srl
4098,Qingdao University,Qingdao University
4099,"아트피셜 머슬, 인코퍼레이션","Artistic Muscle, In Corporation"
4100,Artificial Muscle Inc,Artificial Muscle Inc
4101,Staton Techiya LLC,Staton Techiya Llc
4102,Magnetic Technologies Ltd,Magnetic Technologies Ltd
4103,"E-Vision Smart Optics, Inc.","E-vision Smart Optics, Inc."
4104,"에스아이오2 메디컬 프로덕츠, 인크.","Sio 2 Medical Products, Ink."
4105,Koninklijke Philips Nv,Royal Philips Nv
4106,Digicomp Research Corp,Digicomp Research Corp
4107, Meta Holding Corp,Meta Holding Corp
4108,Servstor Technologies LLC ,Servstor Technologies Llc
4109, RPX Corp,Rpx Corp
4110,Nanan Weisu Electronic Technology Co Ltd,Nanan Weisu Electronic Technology Co Ltd
4111,Heptagang Shiguang Co ltd,Heping Tower Port Time
4112,Physik Instrumente PI GmbH and Co KG,P Ghum And Cog In The Fascic Instrument
4113,"Knowles Electronics, Llc","Knowles Electronics, Llc"
4114,ポライト アーエス,Polight ASA
4115,Quanta Comp Inc,How Much Comprint
4116,罗小红,Luo Xiaohong
4117,Danbury Mission Technologies Formerly Known As Amergint Eo Solutions Llc LLC,Danbury Mission Technologies Formerly Known As Amergint Eo Solutions Llc Llc
4118,Quantum Diamond Technologies Inc,Quantum Diamond Technologies Inc
4119,Dynamic Optics S R L,Dynamic Optics S R L
4120,Diehl Defence GmbH and Co KG,Diehl Defence Gmbh And Co Kg
4121,Carl-Zeiss-Stiftung Trading As Carl Zeiss,Carl-zeiss-stiftung Trading As Carl Zeiss
4122,カール−ツァイス−スティフトゥング トレイディング アズ カール ツァイス,Carl -zeis -stist Hun Trading Azkarl Zeiss
4123,インターナショナル・ビジネス・マシーンズ・コーポレーション,International Business Machine Corporation
4124,シンベント エーエス,Simbent Aes
4125,Shindengen Electric Manufacturing Co Ltd,Shindengen Electric Manufacturing Co Ltd
4126,Figaro Engineering Inc ,Figaro Engineering Inc
4127, Osaka Gas Co Ltd,Osaka Gas
4128,Roberto Massaru Amemiya,Robertwww Massaru Amomia
4129,eSolutions GmbH,Esolutions Gmbh
4130,"Bacus Research Laboratories, Inc.","Bacus Research Laboratories, Inc."
4131,Nano-Or Technologies (Israel) Ltd.,Nano-or Technologies (israel) Ltd.
4132,Hitachi Medical Corporation,Hitachi Medical Corporation
4133,株式会社ユニバーサルエンターテインメント,"Universal Entertainment Co., Ltd."
4134,Juki Corp,Which Cup
4135,fukuokakougyoudaigaku,Fukuoka Institute Of Technology
4136,LIN ROUYU,Lin Rouhe And
4137,Super Gold Optical Co Ltd,Super Gold Optical Co Ltd
4138,Global Bionic Optics Pty Ltd,Global Bionic Optics Pty Ltd
4139,Yantai Zhongke advanced materials and green chemical industry technology Research Institute,Yantai Zhongke Advanced Materials And Green Chemical Industry Technology Research Institute
4140,Jiangsu Nangao Intelligent Equipment Innovation Center Co ltd ,Jiangsu Nangao Intelligent Equipment Innovation Center Co Ltd
4141, Southeast University,Southeast University
4142,Ceskoslovenska Akad Ved,Ceskoslovenka Akad By
4143,カリフォルニア・インスティテュート・オブ・テクノロジー,California Institute Of Technology
4144,ザ リージェンツ オブ ザ ユニバーシティ オブ カリフォルニア,The Rijenz Of The University Of California
4145,Epson Toyocom Corp,Epson Toyocom Corp
4146,エプソントヨコム株式会社,"Epson Yokom Co., Ltd."
4147,Ngk Insulators Ltd,Ngk Insulators Ltd
4148,日本碍子株式会社,"Japan Insulator Co., Ltd."
4149,Yokogawa Electric Corp,Yokogawa Electric Corp
4150,横河電機株式会社,"Yokogawa Electric Co., Ltd."
4151,Ada Priddy C LLC,Ada Priddy C Llc
4152, Gis Tech Chengdu Co Ltd ,Gis Tech Chengdu Co Ltd
4153, Cheng Cheng Technology Chengdu Co Ltd ,Cheng Cheng Technology Chengdu
4154,"S.C. Johnson Home Storage, Inc.","S.c. Johnson Home Storage, Inc."
4155,ローム株式会社,"Rohm Co., Ltd."
4156,FTC Corp,Ftc Corp
4157,洪政男,Hong Zhengnan
4158,ザ ライト・コ インコーポレイテッド,The Light Co -corporated
